date,open,high,low,close,volume
1445938500000,1887.9,1888.66,1886.64,1887.1,404.874
1445938560000,1887.07,1887.13,1885.0,1885.86,452.609
1445938620000,1885.86,1885.97,1882.6,1884.46,525.96
1445938680000,1884.46,1886.54,1884.01,1886.41,373.369
1445938740000,1886.41,1887.41,1886.15,1886.76,316.663
1445938800000,1886.76,1886.92,1884.9,1886.39,272.304
1445938860000,1886.3,1886.81,1884.7,1885.27,265.853
1445938920000,1885.26,1885.7,1883.5,1884.31,293.948
1445938980000,1884.31,1885.36,1883.07,1885.26,389.57
1445939040000,1885.25,1885.6,1884.52,1885.05,183.526
1445939100000,1885.04,1886.0,1885.03,1885.63,169.917
1445939160000,1885.67,1887.09,1885.66,1887.02,212.771
1445939220000,1887.01,1888.31,1887.01,1887.19,175.308
1445939280000,1887.19,1888.02,1886.73,1887.47,200.417
1445939340000,1887.51,1888.3,1887.06,1887.84,180.9
1445939400000,1887.84,1888.0,1886.17,1886.19,134.868
1445939460000,1886.19,1886.19,1884.57,1884.66,289.139
1445939520000,1884.87,1886.9,1884.0,1886.3,363.622
1445939580000,1886.39,1886.65,1885.19,1886.04,268.5
1445939640000,1886.04,1886.59,1884.92,1884.92,315.614
1445939700000,1884.92,1885.48,1884.62,1884.63,121.94
1445939760000,1884.62,1885.05,1884.62,1885.05,157.886
1445939820000,1885.05,1886.52,1885.05,1885.99,204.455
1445939880000,1886.01,1886.07,1883.8,1884.53,208.372
1445939940000,1884.51,1884.54,1884.0,1884.37,77.998
1445940000000,1884.37,1885.12,1883.73,1883.76,163.138
1445940060000,1883.76,1884.06,1881.65,1882.0,477.053
1445940120000,1881.96,1883.26,1881.71,1882.4,356.945
1445940180000,1882.79,1884.39,1882.32,1883.84,379.775
1445940300000,1884.2,1884.39,1882.95,1883.36,252.933
1445940360000,1883.31,1884.12,1883.05,1883.86,182.503
1445940420000,1883.86,1884.0,1882.55,1883.05,145.899
1445940480000,1883.03,1884.0,1883.0,1883.49,100.44
1445940540000,1883.51,1883.61,1881.96,1882.68,256.488
1445940600000,1882.67,1883.0,1881.81,1882.82,200.718
1445940660000,1882.82,1885.54,1882.65,1884.47,260.016
1445940720000,1884.47,1885.31,1884.35,1884.78,224.085
1445940780000,1884.78,1885.13,1884.52,1884.67,213.338
1445940840000,1884.67,1884.79,1882.58,1884.0,342.382
1445940900000,1884.0,1884.87,1883.51,1884.6,293.22
1445940960000,1884.66,1885.2,1884.56,1884.84,167.633
1445941020000,1884.83,1884.83,1884.06,1884.32,60.906
1445941080000,1884.32,1884.93,1884.12,1884.19,163.889
1445941140000,1884.19,1884.79,1883.22,1884.62,296.302
1445941200000,1884.62,1884.89,1884.22,1884.76,160.789
1445941320000,1885.31,1886.99,1885.31,1886.82,383.994
1445941380000,1886.7,1888.0,1885.8,1885.8,237.073
1445941440000,1887.02,1887.02,1885.6,1886.67,265.039
1445941500000,1886.67,1887.56,1886.11,1886.37,278.432
1445941560000,1886.38,1886.48,1885.94,1885.99,185.235
1445941620000,1885.97,1886.5,1885.54,1886.46,132.401
1445941680000,1886.49,1887.28,1886.36,1887.02,196.415
1445941740000,1887.02,1887.58,1887.01,1887.53,52.271
1445941800000,1887.53,1888.0,1886.5,1887.87,518.392
1445941860000,1887.87,1889.0,1887.31,1888.41,431.073
1445941920000,1888.43,1889.0,1888.42,1888.85,436.765
1445941980000,1888.8,1890.87,1888.54,1889.71,584.856
1445942040000,1889.98,1890.11,1888.47,1888.47,380.759
1445942100000,1888.47,1891.0,1888.47,1890.24,339.813
1445942160000,1890.25,1890.72,1887.0,1889.04,399.713
1445942220000,1889.06,1890.3,1888.67,1889.07,191.073
1445942280000,1889.03,1889.03,1886.29,1887.1,304.225
1445942340000,1887.1,1887.1,1885.2,1886.19,377.352
1445942400000,1886.19,1887.0,1885.0,1886.4,251.265
1445942460000,1886.01,1886.56,1885.44,1886.31,115.381
1445942520000,1886.31,1886.5,1885.92,1885.92,135.52
1445942580000,1885.97,1886.09,1884.51,1885.28,267.753
1445942640000,1885.23,1885.88,1884.3,1885.26,304.681
1445942700000,1885.26,1886.0,1884.86,1886.0,152.362
1445942760000,1886.03,1886.96,1885.91,1886.96,224.328
1445942820000,1886.96,1888.09,1886.86,1888.09,208.961
1445942940000,1888.48,1888.5,1887.27,1888.33,201.49
1445943000000,1888.33,1895.55,1887.84,1890.95,1434.35
1445943060000,1890.86,1894.0,1890.82,1893.44,563.147
1445943120000,1893.44,1893.44,1888.98,1889.79,478.18
1445943180000,1889.3,1890.87,1888.94,1890.21,352.636
1445943240000,1890.31,1891.0,1889.45,1889.5,306.571
1445943300000,1889.5,1889.5,1886.89,1888.52,393.056
